t_s,sigma_actual_rad,sigma_actual_deg,nom_r_m,nom_alt_m,nom_phi_rad,nom_lam_rad,nom_V_mps,nom_gamma_rad,nom_chi_rad,nom_gamma_deg,nom_chi_deg,rho_lo,rho_hi,q_lo,q_hi,alt_lo,alt_hi,safety_status,layer_indices,r_m_lo,r_m_hi,r_m_width,phi_rad_lo,phi_rad_hi,phi_rad_width,lam_rad_lo,lam_rad_hi,lam_rad_width,V_mps_lo,V_mps_hi,V_mps_width,gamma_rad_lo,gamma_rad_hi,gamma_rad_width,chi_rad_lo,chi_rad_hi,chi_rad_width,heating_qdot_max_lo,heating_qdot_max_hi,heating_Q_max_lo,heating_Q_max_hi
76.0,0.6108652381980153,35.0,6441189.782613409,63089.78261340875,0.08813220714538753,-0.00011803150981507807,7617.76985423306,-0.10033609492577901,1.5751409125988793,-5.748834772071132,90.24892643030067,0.00020447136927768475,0.00021420050623266386,5901.6680459280615,6247.749851556328,62939.78261340875,63239.78261340875,inside,5,6440843.544805522,6441154.467954649,310.92314912658185,0.08825098691727337,0.08860177512994001,0.00035078821266663895,-0.0002948851265652397,5.6249967965742394e-05,0.00035113509453098214,7599.2419707359595,7639.3473246415815,40.105353905621996,-0.10289343766448497,-0.09764885904629887,0.005244578618186099,1.5716877941355403,1.578671365696609,0.006983571561068658,218061.675977968,1181398.0079607852,54515.418994492,295349.5019901963
76.25,0.6108652381980153,35.0,6440999.018750467,62899.01875046734,0.08842638358744613,-0.00011931457238299167,7619.2938831415895,-0.10027118468764422,1.575179554880222,-5.745115689378819,90.25114046993237,0.00020956763701329375,0.0002195169124054369,6051.188766954053,6405.373004808747,62749.01875046734,63049.01875046734,inside,5,6440652.865096681,6440963.789649711,310.9245530301705,0.08854523276112909,0.08889602105008894,0.0003507882889598468,-0.0002961802443435248,5.495545769583201e-05,0.0003511357020393568,7600.79698742868,7640.904538255495,40.107550826814986,-0.10282636011518712,-0.09758165712886997,0.005244702986317143,1.5717268151568207,1.5787104360117326,0.006983620854911887,220895.32220083592,1196685.227721187,55223.83055020898,299171.30693029676
76.5,0.6108652381980153,35.0,6440808.339743954,62708.33974395413,0.08872062947011868,-0.00012060938638332143,7620.849981409438,-0.1002040457930401,1.5752185999761248,-5.74126891407683,90.25337758913827,0.0002147772962444126,0.00022495110540238553,6204.155824111767,6566.613902735826,62558.33974395413,62858.33974395413,inside,5,6440462.2737060925,6440773.199684822,310.92597872950137,0.08883954934960078,0.08919033771330806,0.0003507883637072773,-0.0002974872495081734,5.364907008555382e-05,0.0003511363195937272,7602.384771141817,7642.494565434557,40.109794292740844,-0.10275700481072778,-0.09751217486164362,0.005244829949084151,1.5717662452636134,1.5787499164611658,0.006983671197552388,223761.49699711852,1212147.2176286434,55940.37424927963,303036.80440716085
76.75,0.6108652381980153,35.0,6440617.749066606,62517.749066606164,0.08901494609665007,-0.00012191608275208851,7622.438869637984,-0.10013462786191804,1.5752580546703683,-5.737291559601006,90.2556381766004,0.00022010246360088879,0.00023050527348248773,6360.639492627246,6731.545987534692,62367.749066606164,62667.749066606164,inside,5,6440271.774188046,6440582.701614758,310.92742671165615,0.08913393801513776,0.08948472645200396,0.00035078843686620065,-0.00029880627549246243,5.233067191872383e-05,0.0003511369474111863,7604.006055887131,7644.118141027351,40.11208514022019,-0.10268532040512557,-0.09744036085294225,0.00524495955218332,1.5718060913403349,1.578789813947726,0.006983722607391218,226660.55750651634,1227785.8894180206,56665.139376629086,306946.47235450515
77.0,0.6108652381980153,35.0,6440427.250272957,62327.25027295668,0.08930933479946865,-0.0001232347948141466,7624.061282251916,-0.10006287952569651,1.5752979258563793,-5.733180682748427,90.25792262728301,0.00022554528157753024,0.00023618163142312296,6520.711215205501,6900.243914596035,62177.25027295668,62477.25027295668,inside,5,6440081.370180397,6440392.2990778675,310.9288974702358,0.08942840011993014,0.08977918862832295,0.00035078850839280473,-0.00030013745816566563,5.100012754727121e-05,0.0003511375857129369,7605.661589680167,7645.776013896568,40.11442421640095,-0.1026112545496178,-0.09736616270776566,0.005245091841852137,1.5718463603812869,1.5788301354842962,0.006983775103009293,229592.865523625,1243603.17966972,57398.21638090625,310900.79491743
77.25,0.6108652381980153,35.0,6440236.847001108,62136.84700110834,0.08960379694074296,-0.00012456565832829394,7625.717967684816,-0.0999887484127442,1.5753382205375588,-5.728933282845652,90.26023134245142,0.00023110791828870385,0.00024198242025973496,6684.443612056756,7072.783562739964,61986.84700110834,62286.84700110834,inside,5,6439891.065406376,6440201.995797881,310.9303915053606,0.08972293705647291,0.09007372563471515,0.0003507885782422365,-0.0003014809358786969,4.965729884564625e-05,0.0003511382347243431,7607.352134725092,7647.468947103789,40.11681237869743,-0.10253475387811506,-0.09728952701324955,0.005245226864865504,1.571887059490912,1.5788708881940716,0.006983828703159611,232558.78757538798,1259601.0502215677,58139.696893846994,314900.26255539194
77.5,0.6108652381980153,35.0,6440046.542974541,61946.542974540964,0.08989833391294592,-0.00012590881153289111,7627.40968856396,-0.09991218113383643,1.575378945827532,-5.724546300915436,90.26256472968633,0.00023679256718986668,0.0002479099069912414,6851.910490558129,7249.242044065686,61796.542974540964,62096.542974540964,inside,5,6439700.863676426,6440011.795585759,310.9319093329832,0.0900175502481373,0.09036833889450588,0.00035078864636857443,-0.0003028368495102487,4.8302045164733525e-05,0.00035113889467498224,7609.0784675985715,7649.197718093289,40.11925049471756,-0.1024557639926385,-0.09721039932410719,0.005245364668531316,1.5719281958839622,1.5789120793107279,0.006983883426765702,235558.69499926476,1275781.4885844246,58889.67374981619,318945.37214610615
77.75,0.6108652381980153,35.0,6439856.342003958,61756.3420039583,0.09019294713942624,-0.00012726439519197374,7629.137221894164,-0.09983312326759454,1.5754201089503184,-5.7200166188424655,90.26492320289357,0.0002426014467643687,0.00025396638424948764,7023.1868545167845,7429.69771337983,61606.3420039583,61906.3420039583,inside,5,6439510.768890096,6439821.702341568,310.9334514718503,0.09031224114974941,0.09066302986247417,0.00035078871272475887,-0.0003042053425134133,4.69342232852818e-05,0.0003511395657986951,7610.841379432496,7650.963118874679,40.12173944218284,-0.10237422944875026,-0.09712872414806503,0.005245505300685224,1.5719697768855867,1.5789537161784994,0.006983939292912744,238592.96402199293,1292146.5083608774,59648.24100549823,323036.62709021935
78.0,0.6108652381980153,35.0,6439666.247989167,61566.24798916746,0.09048763807498685,-0.000128632552641848,7630.901359240467,-0.09975151934591896,1.575461717240413,-5.715341058538739,90.26730718230876,0.00024853680017414574,0.00026015416993130163,7198.348913008552,7614.230177175585,61416.24798916746,61716.24798916746,inside,5,6439320.785037947,6439631.720056401,310.93501845374703,0.09060701124817576,0.0909578000254384,0.0003507887772626478,-0.0003055865609627719,4.5553687370864325e-05,0.0003511402483336362,7612.641676095328,7652.765956204157,40.124280108829225,-0.10229009374098819,-0.09704444493130318,0.005245648809685005,1.5720118099313234,1.5789958062521683,0.0069839963208448985,241661.9758389808,1308698.149667163,60415.4939597452,327174.5374167907
78.25,0.6108652381980153,35.0,6439476.264920996,61376.26492099557,0.09078240820647059,-0.00013001342983815536,7632.702906909433,-0.09966731283942672,1.5755037781427783,-5.710516381109192,90.2697170944968,0.00025460089487254885,0.0002664756067913606,7377.4740887550915,7802.920302124646,61226.26492099557,61526.26492099557,inside,5,6439130.91620351,6439441.852814328,310.93661081790924,0.09090186206291612,0.091252650902849,0.0003507888399328779,-0.00030698065360193965,4.416028892038397e-05,0.00035114094252232365,7614.480178371852,7654.607051764161,40.12687339230888,-0.1022032992883164,-0.09695750404391232,0.005245795244404078,1.5720543025669975,1.5790383570969544,0.0069840545299568735,244766.1166941973,1325438.4795576506,61191.52917354932,331359.61988941266
