step,t_s,thruster
179,44.75,POD0_RNEG
179,44.75,POD1_RNEG
179,44.75,POD2_RNEG
179,44.75,POD3_RNEG
181,45.25,POD0_RNEG
181,45.25,POD1_RNEG
181,45.25,POD2_RNEG
181,45.25,POD3_RNEG
183,45.75,POD0_RNEG
183,45.75,POD1_RNEG
183,45.75,POD2_RNEG
183,45.75,POD3_RNEG
185,46.25,POD0_RNEG
185,46.25,POD1_RNEG
185,46.25,POD2_RNEG
185,46.25,POD3_RNEG
186,46.5,POD0_RNEG
186,46.5,POD1_RNEG
186,46.5,POD2_RNEG
186,46.5,POD3_RNEG
189,47.25,POD0_RNEG
189,47.25,POD1_RNEG
189,47.25,POD2_RNEG
189,47.25,POD3_RNEG
190,47.5,POD0_RNEG
190,47.5,POD1_RNEG
190,47.5,POD2_RNEG
190,47.5,POD3_RNEG
195,48.75,POD0_RPOS
195,48.75,POD1_RPOS
195,48.75,POD2_RPOS
195,48.75,POD3_RPOS
198,49.5,POD0_RPOS
198,49.5,POD1_RPOS
198,49.5,POD2_RPOS
198,49.5,POD3_RPOS
200,50.0,POD0_RPOS
200,50.0,POD1_RPOS
200,50.0,POD2_RPOS
200,50.0,POD3_RPOS
203,50.75,POD0_RPOS
203,50.75,POD1_RPOS
203,50.75,POD2_RPOS
203,50.75,POD3_RPOS
205,51.25,POD0_RPOS
205,51.25,POD1_RPOS
205,51.25,POD2_RPOS
205,51.25,POD3_RPOS
206,51.5,POD0_RPOS
206,51.5,POD1_RPOS
206,51.5,POD2_RPOS
206,51.5,POD3_RPOS
215,53.75,POD0_RNEG
215,53.75,POD1_RNEG
215,53.75,POD2_RNEG
215,53.75,POD3_RNEG
218,54.5,POD0_RNEG
218,54.5,POD1_RNEG
218,54.5,POD2_RNEG
218,54.5,POD3_RNEG
221,55.25,POD0_RNEG
221,55.25,POD1_RNEG
221,55.25,POD2_RNEG
221,55.25,POD3_RNEG
225,56.25,POD0_RNEG
225,56.25,POD1_RNEG
225,56.25,POD2_RNEG
225,56.25,POD3_RNEG
233,58.25,POD0_RPOS
233,58.25,POD1_RPOS
233,58.25,POD2_RPOS
233,58.25,POD3_RPOS
237,59.25,POD0_RPOS
237,59.25,POD1_RPOS
237,59.25,POD2_RPOS
237,59.25,POD3_RPOS
241,60.25,POD0_RPOS
241,60.25,POD1_RPOS
241,60.25,POD2_RPOS
241,60.25,POD3_RPOS
242,60.5,POD0_RPOS
242,60.5,POD1_RPOS
242,60.5,POD2_RPOS
242,60.5,POD3_RPOS
253,63.25,POD0_RNEG
253,63.25,POD1_RNEG
253,63.25,POD2_RNEG
253,63.25,POD3_RNEG
259,64.75,POD0_RNEG
259,64.75,POD1_RNEG
259,64.75,POD2_RNEG
259,64.75,POD3_RNEG
260,65.0,POD0_RNEG
260,65.0,POD1_RNEG
260,65.0,POD2_RNEG
260,65.0,POD3_RNEG
271,67.75,POD0_RPOS
271,67.75,POD1_RPOS
271,67.75,POD2_RPOS
271,67.75,POD3_RPOS
284,71.0,POD0_RPOS
284,71.0,POD1_RPOS
284,71.0,POD2_RPOS
284,71.0,POD3_RPOS
290,72.5,POD0_RNEG
290,72.5,POD1_RNEG
290,72.5,POD2_RNEG
290,72.5,POD3_RNEG
296,74.0,POD0_RNEG
296,74.0,POD1_RNEG
296,74.0,POD2_RNEG
296,74.0,POD3_RNEG
311,77.75,POD0_RPOS
311,77.75,POD1_RPOS
311,77.75,POD2_RPOS
311,77.75,POD3_RPOS
317,79.25,POD0_RPOS
317,79.25,POD1_RPOS
317,79.25,POD2_RPOS
317,79.25,POD3_RPOS
326,81.5,POD0_RNEG
326,81.5,POD1_RNEG
326,81.5,POD2_RNEG
326,81.5,POD3_RNEG
327,81.75,POD0_RNEG
327,81.75,POD1_RNEG
327,81.75,POD2_RNEG
327,81.75,POD3_RNEG
332,83.0,POD0_RNEG
332,83.0,POD1_RNEG
332,83.0,POD2_RNEG
332,83.0,POD3_RNEG
333,83.25,POD0_RNEG
333,83.25,POD1_RNEG
333,83.25,POD2_RNEG
333,83.25,POD3_RNEG
346,86.5,POD0_RPOS
346,86.5,POD1_RPOS
346,86.5,POD2_RPOS
346,86.5,POD3_RPOS
353,88.25,POD0_RPOS
353,88.25,POD1_RPOS
353,88.25,POD2_RPOS
353,88.25,POD3_RPOS
362,90.5,POD0_RNEG
362,90.5,POD1_RNEG
362,90.5,POD2_RNEG
362,90.5,POD3_RNEG
368,92.0,POD0_RNEG
368,92.0,POD1_RNEG
368,92.0,POD2_RNEG
368,92.0,POD3_RNEG
382,95.5,POD0_RPOS
382,95.5,POD1_RPOS
382,95.5,POD2_RPOS
382,95.5,POD3_RPOS
388,97.0,POD0_RPOS
388,97.0,POD1_RPOS
388,97.0,POD2_RPOS
388,97.0,POD3_RPOS
389,97.25,POD0_RPOS
389,97.25,POD1_RPOS
389,97.25,POD2_RPOS
389,97.25,POD3_RPOS
397,99.25,POD0_RNEG
397,99.25,POD1_RNEG
397,99.25,POD2_RNEG
397,99.25,POD3_RNEG
398,99.5,POD0_RNEG
398,99.5,POD1_RNEG
398,99.5,POD2_RNEG
398,99.5,POD3_RNEG
403,100.75,POD0_RNEG
403,100.75,POD1_RNEG
403,100.75,POD2_RNEG
403,100.75,POD3_RNEG
404,101.0,POD0_RNEG
404,101.0,POD1_RNEG
404,101.0,POD2_RNEG
404,101.0,POD3_RNEG
417,104.25,POD0_RPOS
417,104.25,POD1_RPOS
417,104.25,POD2_RPOS
417,104.25,POD3_RPOS
418,104.5,POD0_RPOS
418,104.5,POD1_RPOS
418,104.5,POD2_RPOS
418,104.5,POD3_RPOS
424,106.0,POD0_RPOS
424,106.0,POD1_RPOS
424,106.0,POD2_RPOS
424,106.0,POD3_RPOS
433,108.25,POD0_RNEG
433,108.25,POD1_RNEG
433,108.25,POD2_RNEG
433,108.25,POD3_RNEG
439,109.75,POD0_RNEG
439,109.75,POD1_RNEG
439,109.75,POD2_RNEG
439,109.75,POD3_RNEG
453,113.25,POD0_RPOS
453,113.25,POD1_RPOS
453,113.25,POD2_RPOS
453,113.25,POD3_RPOS
460,115.0,POD0_RPOS
460,115.0,POD1_RPOS
460,115.0,POD2_RPOS
460,115.0,POD3_RPOS
469,117.25,POD0_RNEG
469,117.25,POD1_RNEG
469,117.25,POD2_RNEG
469,117.25,POD3_RNEG
475,118.75,POD0_RNEG
475,118.75,POD1_RNEG
475,118.75,POD2_RNEG
475,118.75,POD3_RNEG
489,122.25,POD0_RPOS
489,122.25,POD1_RPOS
489,122.25,POD2_RPOS
489,122.25,POD3_RPOS
495,123.75,POD0_RPOS
495,123.75,POD1_RPOS
495,123.75,POD2_RPOS
495,123.75,POD3_RPOS
496,124.0,POD0_RPOS
496,124.0,POD1_RPOS
496,124.0,POD2_RPOS
496,124.0,POD3_RPOS
504,126.0,POD0_RNEG
504,126.0,POD1_RNEG
504,126.0,POD2_RNEG
504,126.0,POD3_RNEG
505,126.25,POD0_RNEG
505,126.25,POD1_RNEG
505,126.25,POD2_RNEG
505,126.25,POD3_RNEG
510,127.5,POD0_RNEG
510,127.5,POD1_RNEG
510,127.5,POD2_RNEG
510,127.5,POD3_RNEG
524,131.0,POD0_RPOS
524,131.0,POD1_RPOS
524,131.0,POD2_RPOS
524,131.0,POD3_RPOS
525,131.25,POD0_RPOS
525,131.25,POD1_RPOS
525,131.25,POD2_RPOS
525,131.25,POD3_RPOS
531,132.75,POD0_RPOS
531,132.75,POD1_RPOS
531,132.75,POD2_RPOS
531,132.75,POD3_RPOS
540,135.0,POD0_RNEG
540,135.0,POD1_RNEG
540,135.0,POD2_RNEG
540,135.0,POD3_RNEG
546,136.5,POD0_RNEG
546,136.5,POD1_RNEG
546,136.5,POD2_RNEG
546,136.5,POD3_RNEG
560,140.0,POD0_RPOS
560,140.0,POD1_RPOS
560,140.0,POD2_RPOS
560,140.0,POD3_RPOS
567,141.75,POD0_RPOS
567,141.75,POD1_RPOS
567,141.75,POD2_RPOS
567,141.75,POD3_RPOS
576,144.0,POD0_RNEG
576,144.0,POD1_RNEG
576,144.0,POD2_RNEG
576,144.0,POD3_RNEG
581,145.25,POD0_RNEG
581,145.25,POD1_RNEG
581,145.25,POD2_RNEG
581,145.25,POD3_RNEG
582,145.5,POD0_RNEG
582,145.5,POD1_RNEG
582,145.5,POD2_RNEG
582,145.5,POD3_RNEG
595,148.75,POD0_RPOS
595,148.75,POD1_RPOS
595,148.75,POD2_RPOS
595,148.75,POD3_RPOS
596,149.0,POD0_RPOS
596,149.0,POD1_RPOS
596,149.0,POD2_RPOS
596,149.0,POD3_RPOS
602,150.5,POD0_RPOS
602,150.5,POD1_RPOS
602,150.5,POD2_RPOS
602,150.5,POD3_RPOS
611,152.75,POD0_RNEG
611,152.75,POD1_RNEG
611,152.75,POD2_RNEG
611,152.75,POD3_RNEG
617,154.25,POD0_RNEG
617,154.25,POD1_RNEG
617,154.25,POD2_RNEG
617,154.25,POD3_RNEG
631,157.75,POD0_RPOS
631,157.75,POD1_RPOS
631,157.75,POD2_RPOS
631,157.75,POD3_RPOS
638,159.5,POD0_RPOS
638,159.5,POD1_RPOS
638,159.5,POD2_RPOS
638,159.5,POD3_RPOS
647,161.75,POD0_RNEG
647,161.75,POD1_RNEG
647,161.75,POD2_RNEG
647,161.75,POD3_RNEG
652,163.0,POD0_RNEG
652,163.0,POD1_RNEG
652,163.0,POD2_RNEG
652,163.0,POD3_RNEG
653,163.25,POD0_RNEG
653,163.25,POD1_RNEG
653,163.25,POD2_RNEG
653,163.25,POD3_RNEG
666,166.5,POD0_RPOS
666,166.5,POD1_RPOS
666,166.5,POD2_RPOS
666,166.5,POD3_RPOS
667,166.75,POD0_RPOS
667,166.75,POD1_RPOS
667,166.75,POD2_RPOS
667,166.75,POD3_RPOS
673,168.25,POD0_RPOS
673,168.25,POD1_RPOS
673,168.25,POD2_RPOS
673,168.25,POD3_RPOS
682,170.5,POD0_RNEG
682,170.5,POD1_RNEG
682,170.5,POD2_RNEG
682,170.5,POD3_RNEG
688,172.0,POD0_RNEG
688,172.0,POD1_RNEG
688,172.0,POD2_RNEG
688,172.0,POD3_RNEG
702,175.5,POD0_RPOS
702,175.5,POD1_RPOS
702,175.5,POD2_RPOS
702,175.5,POD3_RPOS
709,177.25,POD0_RPOS
709,177.25,POD1_RPOS
709,177.25,POD2_RPOS
